社内品番,日付,ライン,品名,計画数,生産数,差異,シフト,休憩,段取,修理,鋸刃交換,ロス停止昼,ロス時間夜,見えないロス停止,計画停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率,設備記録時間１,設備記録時間2,60,,,実記録切断,差異,実記録面取,差異,面取段取り,,成形加工日
91111,4/1,切断03,TTA,"3,000","3,000",,6.27,,0.08,,,,,0.52,,6.27 ,6.18 ,26.11%,98.68%,"3,000",485.2,,340,5.67,,,,,,,,,
91111,4/1,切断03,TTA,"3,000","3,000",,7.20,,0.23,,,,0.75,0.56,,7.20 ,6.22 ,30.00%,86.35%,"3,000",482.5,,339.4,5.66,,,,,,,,,
92381,4/1,切断03,5A45 X1,598,598,,2.03,,0.25,,,,,0.36,,2.03 ,1.78 ,8.47%,87.70%,598,335.4,,85.13,1.42,,,,,,,,,
91461,4/1,切断04,400B CTR,"1,072","1,072",,3.75,,,,,,,0.11,1.33,2.42 ,2.42 ,10.07%,100.00%,"1,072",443.5,,138.4,2.31,,,,,,,,,
91461,4/1,切断04,400B CTR,"2,608","2,608",,5.83,,,,0.25,,,-0.27,0.25,5.58 ,5.33 ,23.26%,95.52%,"2,608",489.0,,336.28,5.60,,,,,,,,,
91461,4/1,切断04,400B CTR,"2,608","2,608",,6.22,,,,0.25,,,0.28,,6.22 ,5.97 ,25.90%,95.98%,"2,608",437.1,,341.15,5.69,,,,,,,,,
,4/1,切断04,500D RR,"1,956","1,956",,7.10,,0.25,,0.25,,1.50,0.53,,7.10 ,5.10 ,29.58%,71.83%,"1,956",383.5,,274.45,4.57,,,,,,,,,
,4/1,切断04,500D RR,276,276,,1.10,,0.07,,,,,0.38,,1.10 ,1.03 ,4.58%,94.00%,276,266.9,,39.13,0.65,,,,,,,,,
#N/A,4/1,切断05,C53L 27MY,808,808,,3.75,,,,,,,0.14,1.33,2.42 ,2.42 ,10.07%,100.00%,808,334.3,,136.46,2.27,,,,,,,,,
92241,4/1,切断05,120D 3RD,"1,304","1,304",,4.58,,0.08,,,,,-0.19,0.25,4.33 ,4.25 ,18.05%,98.08%,"1,304",306.8,,266.4,4.44,,,,,,,,,
92241,4/1,切断05,120D 3RD,"1,304","1,296",8,4.85,,,,0.50,,,-0.09,,4.85 ,4.35 ,20.21%,89.69%,"1,296",297.9,,266.31,4.44,,,,,,,,,
92241,4/1,切断05,120D 3RD,"1,304","1,304",,5.18,,0.17,,,,,0.57,,5.18 ,5.02 ,21.60%,96.80%,"1,304",259.9,,266.78,4.45,,,,,,,,,
90311,4/1,切断05,3X45 対米 SIDE,"2,310","2,310",,5.63,,0.23,,,,,0.58,,5.63 ,5.40 ,23.47%,95.86%,"2,310",427.8,,289.03,4.82,,,,,,,,,
91681,4/2,切断01,D54L RR,"1,570","1,570",,3.00,,,,0.25,,,-0.24,,3.00 ,2.75 ,12.50%,91.67%,"1,570",570.9,,179.18,2.99,,,,,,,,,
