社内品番,日付,ライン,品名,生産計画数,生産数,不良数,シフト,残業,段取,修理,調整,休憩,対応待ち（残業中未復旧）,停止時間(計画停止),作業すべき時間,作業時間,稼働率,作業率,能率,段取・調整,黄箱品,60,
91681,6/24,成型18号,D54L RR,"2,940","3,148",,18.00,6.00,,,0.15,0.50,,,23.50 ,23.35 ,97.92%,99.36%,134.8,,,1401,23.35
91111,6/24,成型19号,TTA,"2,024","2,144",4,18.00,,,,0.95,2.00,,,16.00 ,15.05 ,66.67%,94.06%,142.5,,,903,15.05
92441,6/24,成型20号,310D CTR,"3,336","3,528",,18.00,6.00,,,0.15,0.17,,,23.83 ,23.68 ,99.29%,99.37%,149.0,,,1421,23.68
90271,6/24,成型21号,3X45 CTR,"1,732","1,729",,18.00,,,,0.93,2.00,,,16.00 ,15.07 ,66.67%,94.19%,114.7,,,904,15.07
92661,6/24,成型22号,CH2 RR,"2,128",271,,18.00,,,13.33,,2.67,,,15.33 ,2.00 ,63.88%,13.05%,135.5,,,120,2.00
92431,6/24,成型23号,410D RR,"1,536","1,776",,18.00,6.00,,,0.22,2.33,,,21.67 ,21.45 ,90.29%,98.98%,82.8,,,1287,21.45
92671,6/24,成型24号,655D 3RD SIDE,"1,820","2,228",,18.00,6.00,,,0.15,0.33,,,23.67 ,23.52 ,98.63%,99.37%,94.7,,,1411,23.52
92521,6/24,成型NC,X11M FR1,,194,,2.00,,,,,,,,2.00 ,2.00 ,8.33%,100.00%,97.0,,,,
92241,6/25,成型01号,120D 3RD,"2,544","2,404",,18.00,,,,0.56,2.67,,,15.33 ,14.77 ,63.88%,96.35%,162.8,,,886,14.77
92891,6/25,成型02号,836D CTR,"2,984","3,148",,17.50,6.00,,,0.09,1.83,,,21.67 ,21.58 ,90.29%,99.58%,145.9,,,1295,21.58
92721,6/25,成型02号,706D CTR,,1,,0.50,0.48,,,,,,,0.98 ,0.98 ,4.08%,100.00%,1.0,,,1,0.02
91791,6/25,成型03号,GC7 CTR,"1,802","1,686",,13.67,6.00,,,0.72,1.00,1.50,,18.67 ,16.45 ,77.79%,88.11%,102.5,,,987,16.45
91831,6/25,成型03号,3N0 RR EU,313,73,,4.33,,2.40,,0.08,1.00,,,3.33 ,0.85 ,13.88%,25.53%,85.9,10,,51,0.85
91441,6/25,成型04号,400B FR,"2,688","2,790",,18.00,6.00,,,,0.83,,,23.17 ,23.17 ,96.54%,100.00%,120.4,,,1390,23.17
92221,6/25,成型05号,900B FR,"2,528","2,547",,18.00,,,,0.50,2.67,,,15.33 ,14.83 ,63.88%,96.74%,171.7,,,890,14.83
91011,6/25,成型06号,HR3 JP,"1,683","1,622",,18.00,,,,0.35,2.67,,1.00,14.33 ,13.98 ,59.71%,97.56%,116.0,,,839,13.98
90291,6/25,成型07号,3X45 SIDE,757,712,,5.50,,,,0.10,,,,5.50 ,5.40 ,22.92%,98.18%,131.9,,,324,5.40
90281,6/25,成型07号,3X45 FR,897,944,,12.50,,1.50,,1.62,2.33,,,10.17 ,7.05 ,42.38%,69.32%,133.9,10,,423,7.05
92381,6/25,成型08号,5A45 X1,"1,088","1,070",,18.00,,,,1.11,1.67,,,16.33 ,15.22 ,68.04%,93.20%,70.3,,,913,15.22
92201,6/25,成型09号,970B 3RD,"1,148","1,151",,18.00,,,,,2.50,,1.00,14.50 ,14.50 ,60.42%,100.00%,79.4,,,870,14.50
92371,6/25,成型10号,440D CTR,"2,412","2,062",,11.00,2.00,,,0.53,1.50,,,11.50 ,10.97 ,47.92%,95.39%,188.0,,,658,10.97
92131,6/25,成型10号,032D CTR,17,284,,7.00,,3.50,,0.11,1.17,,,5.83 ,2.22 ,24.29%,38.08%,127.9,,,133,2.22
91951,6/25,成型11号,961B CTR,"2,128","2,134",,18.00,,,,0.15,2.50,,,15.50 ,15.35 ,64.58%,99.03%,139.0,,,921,15.35
92881,6/25,成型12号,836D RR,"2,068","1,736",,18.00,,,,1.30,2.67,,,15.33 ,14.03 ,63.88%,91.52%,123.7,,,842,14.03
92011,6/25,成型13号,840B 2ND CTR,693,607,,3.42,4.00,,,0.22,0.33,,,7.09 ,6.87 ,29.54%,96.90%,88.4,,,412,6.87
91331,6/25,成型13号,XC2A FR,966,"1,234",,14.58,2.00,1.92,,0.51,0.67,,,15.91 ,13.48 ,66.29%,84.73%,91.5,9,,809,13.48
92691,6/25,成型14号,655D 3RD CTR,"1,348","1,612",1,18.00,2.00,,,0.21,1.67,,,18.33 ,18.12 ,76.38%,98.85%,89.0,,,1087,18.12
92481,6/25,成型15号,155D RR,"3,968","4,052",,18.00,6.00,,,0.10,3.00,,,21.00 ,20.90 ,87.50%,99.52%,193.9,,,1254,20.90
92511,6/25,成型16号,NB8 US,"2,922","3,272",,18.00,6.00,,,0.47,0.50,,,23.50 ,23.03 ,97.92%,98.00%,142.1,,,1382,23.03
91441,6/25,成型17号,400B FR,"2,024","1,943",3,18.00,,,,2.85,2.00,,,16.00 ,13.15 ,66.67%,82.19%,147.8,,,789,13.15
91681,6/25,成型18号,D54L RR,"2,940","3,048",,18.00,6.00,,,0.47,1.00,,,23.00 ,22.53 ,95.83%,97.96%,135.3,,,1352,22.53
91111,6/25,成型19号,TTA,"2,024","2,135",,18.00,,,,1.08,2.00,,,16.00 ,14.92 ,66.67%,93.25%,143.1,,,895,14.92
92441,6/25,成型20号,310D CTR,"3,336","3,316",,18.00,6.00,,,0.05,1.50,,,22.50 ,22.45 ,93.75%,99.78%,147.7,,,1347,22.45
90271,6/25,成型21号,3X45 CTR,"1,732","1,717",,18.00,,,,1.02,2.00,,,16.00 ,14.98 ,66.67%,93.63%,114.6,,,899,14.98
92661,6/25,成型22号,CH2 RR,"2,128","2,172",5,18.00,,,,0.58,1.50,,1.00,15.50 ,14.92 ,64.58%,96.26%,145.6,2,,895,14.92
92431,6/25,成型23号,410D RR,"1,536","1,769",,18.00,6.00,,,0.12,2.50,,,21.50 ,21.38 ,89.58%,99.44%,82.7,,,1283,21.38
92671,6/25,成型24号,655D 3RD SIDE,"1,820","2,197",,18.00,6.00,,,0.09,0.33,,,23.67 ,23.58 ,98.63%,99.62%,93.2,,,1415,23.58
92241,6/26,成型01号,120D 3RD,"2,544","2,282",,18.00,,,,0.88,2.67,,,15.33 ,14.45 ,63.88%,94.26%,157.9,,,867,14.45
92721,6/26,成型02号,706D CTR,"2,675","3,282",,18.00,6.00,,,0.05,2.83,,,21.17 ,21.12 ,88.21%,99.76%,155.4,,,1267,21.12
91831,6/26,成型03号,3N0 RR EU,"1,982","1,898",,18.00,6.00,,,0.22,1.00,1.30,,23.00 ,21.48 ,95.83%,93.39%,88.4,,,1289,21.48
91441,6/26,成型04号,400B FR,"2,688","2,838",,18.00,6.00,,,,1.00,,,23.00 ,23.00 ,95.83%,100.00%,123.4,,,1380,23.00
92221,6/26,成型05号,900B FR,,296,,2.00,,,,0.15,0.17,,,1.83 ,1.68 ,7.63%,91.80%,176.2,,,101,1.68
91011,6/26,成型06号,HR3 JP,,68,,2.00,,1.34,,0.08,,,,2.00 ,0.58 ,8.33%,29.00%,117.2,,,35,0.58
90281,6/26,成型07号,3X45 FR,"1,960","2,057",,18.00,,,,0.41,2.67,,,15.33 ,14.92 ,63.88%,97.33%,137.9,,,895,14.92
92381,6/26,成型08号,5A45 X1,,284,,2.00,2.00,,,0.10,,,,4.00 ,3.90 ,16.67%,97.50%,72.8,,,234,3.90
92201,6/26,成型09号,970B 3RD,"1,148","1,214",,18.00,,,,,2.67,,,15.33 ,15.33 ,63.88%,100.00%,79.2,,,920,15.33
92131,6/26,成型10号,032D CTR,"2,008","2,173",,18.00,,,,0.16,1.67,,,16.33 ,16.17 ,68.04%,99.02%,134.4,,,970,16.17
91951,6/26,成型11号,961B CTR,"1,487","1,444",,12.17,,,,0.62,1.33,,,10.84 ,10.22 ,45.17%,94.28%,141.3,,,613,10.22
92331,6/26,成型11号,960B RR,379,401,,5.83,,1.67,,0.12,1.17,,,4.66 ,2.87 ,19.42%,61.59%,139.7,2,,172,2.87
92881,6/26,成型12号,836D RR,"2,036","1,904",,18.00,,,,0.01,2.67,,,15.33 ,15.32 ,63.88%,99.93%,124.3,,,919,15.32
91331,6/26,成型13号,XC2A FR,"1,898","1,991",,18.00,6.00,,,0.37,2.00,,,22.00 ,21.63 ,91.67%,98.32%,92.0,,,1298,21.63
92691,6/26,成型14号,655D 3RD CTR,"1,348","1,439",,18.00,,,,0.30,1.67,,,16.33 ,16.03 ,68.04%,98.16%,89.8,,,962,16.03
92481,6/26,成型15号,155D RR,"3,968","3,955",,18.00,6.00,,,0.97,2.83,,,21.17 ,20.20 ,88.21%,95.42%,195.8,,,1212,20.20
92511,6/26,成型16号,NB8 US,"2,922","2,661",,14.00,6.00,,,0.43,1.00,,,19.00 ,18.57 ,79.17%,97.74%,143.3,,,1114,18.57
92111,6/26,成型16号,990B RR,,13,,4.00,,2.50,,0.13,1.00,,,3.00 ,0.37 ,12.50%,12.33%,35.1,6,,22,0.37
91441,6/26,成型17号,400B FR,"2,024","2,000",,18.00,,,,1.50,2.50,,,15.50 ,14.00 ,64.58%,90.32%,142.9,,,840,14.00
91681,6/26,成型18号,D54L RR,"2,940","2,795",,18.00,6.00,,,0.97,2.00,,,22.00 ,21.03 ,91.67%,95.59%,132.9,,,1262,21.03
91111,6/26,成型19号,TTA,"2,024","2,086",,18.00,,,,1.05,2.17,,,15.83 ,14.78 ,65.96%,93.37%,141.1,,,887,14.78
92441,6/26,成型20号,310D CTR,"3,336","3,517",,18.00,6.00,,,0.04,0.33,,,23.67 ,23.63 ,98.63%,99.83%,148.8,,,1418,23.63
90271,6/26,成型21号,3X45 CTR,,359,32,2.00,2.00,,,0.65,0.17,,,3.83 ,3.18 ,15.96%,83.03%,112.9,,,191,3.18
92661,6/26,成型22号,CH2 RR,"2,128","2,367",,18.00,,,,0.73,1.00,,,17.00 ,16.27 ,70.83%,95.71%,145.5,,,976,16.27
92431,6/26,成型23号,410D RR,"1,536","1,771",,18.00,6.00,,,0.10,2.50,,,21.50 ,21.40 ,89.58%,99.53%,82.8,,,1284,21.40
92671,6/26,成型24号,655D 3RD SIDE,"1,820","2,157",,18.00,6.00,,,0.08,0.50,,,23.50 ,23.42 ,97.92%,99.66%,92.1,,,1405,23.42
92241,6/29,成型01号,120D 3RD,315,498,,3.83,,,,0.09,0.17,,0.50,3.16 ,3.07 ,13.17%,97.15%,162.2,,,184,3.07
92231,6/29,成型01号,900B RR,"1,715",606,,7.17,,2.50,,0.04,1.33,,,5.84 ,3.30 ,24.33%,56.51%,183.6,6,,198,3.30
92231,6/29,成型01号,900B RR,,880,,7.00,,,,1.03,1.17,,,5.83 ,4.80 ,24.29%,82.33%,183.3,,,288,4.80
92721,6/29,成型02号,706D CTR,"3,156","2,305",,11.00,6.00,,,0.10,1.83,,,15.17 ,15.07 ,63.21%,99.34%,153.0,,,904,15.07
92721,6/29,成型02号,706D CTR,,835,,7.00,,,,0.50,1.17,,,5.83 ,5.33 ,24.29%,91.42%,156.7,,,320,5.33
91831,6/29,成型03号,3N0 RR EU,"1,982","1,434",,11.00,6.00,,,0.23,1.67,,0.50,14.83 ,14.60 ,61.79%,98.45%,98.2,,,876,14.60
91831,6/29,成型03号,3N0 RR EU,,519,,7.00,,,,0.05,0.67,,,6.33 ,6.28 ,26.38%,99.21%,82.6,,,377,6.28
91441,6/29,成型04号,400B FR,"2,940","1,991",,11.00,6.00,,,0.43,,,0.50,16.50 ,16.07 ,68.75%,97.39%,123.9,,,964,16.07
91441,6/29,成型04号,400B FR,,670,,7.00,,,,0.41,1.17,,,5.83 ,5.42 ,24.29%,92.97%,123.6,,,325,5.42
92221,6/29,成型05号,900B FR,"2,528","1,265",,9.00,,,,0.37,1.33,,,7.67 ,7.30 ,31.96%,95.18%,173.3,,,438,7.30
92221,6/29,成型05号,900B FR,,965,,7.00,,,,0.33,1.17,,,5.83 ,5.50 ,24.29%,94.34%,175.5,,,330,5.50
91001,6/29,成型06号,HR3 ENCAP,"1,202",588,,9.00,,,,2.27,1.33,,1.00,6.67 ,4.40 ,27.79%,65.97%,133.6,,,264,4.40
91001,6/29,成型06号,HR3 ENCAP,,703,,7.00,,,,0.40,1.17,,,5.83 ,5.43 ,24.29%,93.14%,129.5,,,326,5.43
90271,6/29,成型07号,3X45 CTR,"1,563","1,547",,11.00,3.20,,,,1.50,,1.50,11.20 ,11.20 ,46.67%,100.00%,138.1,,,672,11.20
92501,6/29,成型07号,785D CTR,137,121,,7.00,,4.83,,0.12,1.17,,,5.83 ,0.88 ,24.29%,15.09%,137.5,,,53,0.88
92381,6/29,成型08号,5A45 X1,"1,088",605,,9.00,,,,0.10,1.00,,,8.00 ,7.90 ,33.33%,98.75%,76.6,,,474,7.90
92381,6/29,成型08号,5A45 X1,,417,,7.00,,,,0.28,1.17,,,5.83 ,5.55 ,24.29%,95.20%,75.1,,,333,5.55
92201,6/29,成型09号,970B 3RD,"1,148",595,,11.00,,,,0.40,1.50,,1.50,8.00 ,7.60 ,33.33%,95.00%,78.3,,,456,7.60
92201,6/29,成型09号,970B 3RD,,406,,7.00,,,,0.35,1.17,,,5.83 ,5.48 ,24.29%,94.00%,74.1,,,329,5.48
92131,6/29,成型10号,032D CTR,"2,008","1,389",,11.00,2.00,,,0.50,1.50,,0.50,11.00 ,10.50 ,45.83%,95.45%,132.3,,,630,10.50
92131,6/29,成型10号,032D CTR,,720,,7.00,,,,0.31,1.17,,,5.83 ,5.52 ,24.29%,94.68%,130.4,,,331,5.52
92331,6/29,成型11号,960B RR,"2,220","1,217",,11.00,,,,0.15,1.17,,1.50,8.33 ,8.18 ,34.71%,98.20%,148.8,,,491,8.18
92331,6/29,成型11号,960B RR,,678,,7.00,,,,0.95,1.17,,,5.83 ,4.88 ,24.29%,83.70%,138.9,,,293,4.88
92881,6/29,成型12号,836D RR,300,328,,3.58,,,,0.21,0.17,,0.50,2.91 ,2.70 ,12.13%,92.78%,121.5,,,162,2.70
91901,6/29,成型12号,670B CAP,"1,508",529,,7.42,,2.00,,0.01,1.33,,,6.09 ,4.08 ,25.38%,67.00%,129.7,6,,245,4.08
91901,6/29,成型12号,670B CAP,,678,,7.00,,,,0.66,1.17,,,5.83 ,5.17 ,24.29%,88.68%,131.1,,,310,5.17
91331,6/29,成型13号,XC2A FR,"1,898","1,976",15,11.00,13.00,,,0.12,2.00,,0.50,21.50 ,21.38 ,89.58%,99.44%,92.4,,,1283,21.38
91331,6/29,成型13号,XC2A FR,"1,364","1,398",,7.00,11.00,,,0.37,2.50,,,15.50 ,15.13 ,64.58%,97.61%,92.4,,,908,15.13
92691,6/29,成型14号,655D 3RD CTR,"1,348",804,,11.00,,,,0.55,1.50,,,9.50 ,8.95 ,39.58%,94.21%,89.8,,,537,8.95
92691,6/29,成型14号,655D 3RD CTR,,484,,7.00,,,,0.41,1.17,,,5.83 ,5.42 ,24.29%,92.97%,89.3,,,325,5.42
92481,6/29,成型15号,155D RR,680,"1,188",,3.00,4.00,,,0.02,0.33,,0.50,6.17 ,6.15 ,25.71%,99.68%,193.2,,,369,6.15
92411,6/29,成型15号,P13C RR,"1,758","2,270",,8.00,9.00,1.83,,0.42,2.50,,,14.50 ,12.25 ,60.42%,84.48%,185.3,5,,735,12.25
92411,6/29,成型15号,P13C RR,,"2,795",,7.00,11.00,,,0.53,2.50,,,15.50 ,14.97 ,64.58%,96.58%,186.7,,,898,14.97
92111,6/29,成型16号,990B RR,"2,004","1,030",,11.00,6.00,,3.67,0.26,1.50,,0.50,15.00 ,11.07 ,62.50%,73.80%,93.0,,,664,11.07
92111,6/29,成型16号,990B RR,,477,,7.00,,,,0.78,1.17,,,5.83 ,5.05 ,24.29%,86.62%,94.5,,,303,5.05
91441,6/29,成型17号,400B FR,"2,024","1,115",,11.00,,,,0.68,1.50,,0.50,9.00 ,8.32 ,37.50%,92.44%,134.0,,,499,8.32
91441,6/29,成型17号,400B FR,,617,,7.00,,,,1.03,1.17,,,5.83 ,4.80 ,24.29%,82.33%,128.5,,,288,4.80
91681,6/29,成型18号,D54L RR,"2,940","2,979",,11.00,13.00,,,0.07,1.33,,0.50,22.17 ,22.10 ,92.38%,99.68%,134.8,,,1326,22.10
91681,6/29,成型18号,D54L RR,"1,932","2,003",,7.00,11.00,,,0.42,2.50,,,15.50 ,15.08 ,64.58%,97.29%,132.8,,,905,15.08
91111,6/29,成型19号,TTA,"2,024",256,,11.00,,,,,1.50,7.02,0.50,9.00 ,1.98 ,37.50%,22.00%,129.3,,,119,1.98
92441,6/29,成型20号,310D CTR,"3,336","3,401",,11.00,13.00,,,0.07,0.33,,0.50,23.17 ,23.10 ,96.54%,99.70%,147.2,,,1386,23.10
92441,6/29,成型20号,310D CTR,"2,192","2,211",,7.00,11.00,,,0.47,2.50,,,15.50 ,15.03 ,64.58%,96.97%,147.1,,,902,15.03
90271,6/29,成型21号,3X45 CTR,"1,732",801,,9.00,,,,0.30,1.33,,,7.67 ,7.37 ,31.96%,96.09%,108.7,,,442,7.37
90271,6/29,成型21号,3X45 CTR,,631,,7.00,,,,0.40,1.17,,,5.83 ,5.43 ,24.29%,93.14%,116.2,,,326,5.43
92661,6/29,成型22号,CH2 RR,"2,128","1,544",9,11.00,2.00,,,0.27,1.50,,0.50,11.00 ,10.73 ,45.83%,97.55%,143.9,,,644,10.73
92661,6/29,成型22号,CH2 RR,,804,,7.00,,,,0.33,1.17,,,5.83 ,5.50 ,24.29%,94.34%,146.2,,,330,5.50
92431,6/29,成型23号,410D RR,"1,536","1,241",,11.00,6.00,,,0.03,1.50,,0.50,15.00 ,14.97 ,62.50%,99.80%,82.9,,,898,14.97
92431,6/29,成型23号,410D RR,,436,,7.00,,,,0.28,1.17,,,5.83 ,5.55 ,24.29%,95.20%,78.6,,,333,5.55
92671,6/29,成型24号,655D 3RD SIDE,"1,820","1,931",132,11.00,13.00,,0.83,0.14,1.50,,0.50,22.00 ,21.03 ,91.67%,95.59%,91.8,10,,1262,21.03
92671,6/29,成型24号,655D 3RD SIDE,"1,196","1,460",,7.00,11.00,,,0.12,2.50,,,15.50 ,15.38 ,64.58%,99.23%,94.9,,,923,15.38
92231,6/30,成型01号,900B RR,"2,025","2,627",,16.00,,,,0.10,1.67,,,14.33 ,14.23 ,59.71%,99.30%,184.6,,,854,14.23
92721,6/30,成型02号,706D CTR,"2,860","3,019",,16.00,6.00,,,0.30,2.00,,,20.00 ,19.70 ,83.33%,98.50%,153.2,,,1182,19.70
91831,6/30,成型03号,3N0 RR EU,"1,796","1,838",,16.00,6.00,,,1.03,0.67,1.50,,21.33 ,18.80 ,88.88%,88.14%,97.8,,,1128,18.80
91441,6/30,成型04号,400B FR,"2,688","2,521",,16.00,6.00,,,0.13,1.50,,,20.50 ,20.37 ,85.42%,99.37%,123.8,,,1222,20.37
92221,6/30,成型05号,900B FR,"2,226","2,311",,16.00,,,,0.96,1.67,,,14.33 ,13.37 ,59.71%,93.30%,172.8,,,802,13.37
91001,6/30,成型06号,HR3 ENCAP,"1,469","1,723",,16.00,,,,1.06,1.67,,,14.33 ,13.27 ,59.71%,92.60%,129.8,,,796,13.27
92501,6/30,成型07号,785D CTR,871,268,,16.00,,,12.35,,1.67,,,14.33 ,1.98 ,59.71%,13.82%,135.4,,,119,1.98
92381,6/30,成型08号,5A45 X1,946,"1,083",,16.00,,,,0.21,1.67,,,14.33 ,14.12 ,59.71%,98.53%,76.7,,,847,14.12
92201,6/30,成型09号,970B 3RD,998,985,,16.00,,,,0.26,1.67,,,14.33 ,14.07 ,59.71%,98.19%,70.0,,,844,14.07
92131,6/30,成型10号,032D CTR,"1,746","1,823",,16.00,,,,0.15,1.67,,,14.33 ,14.18 ,59.71%,98.95%,128.6,,,851,14.18
92331,6/30,成型11号,960B RR,"1,955","2,075",,16.00,,,,0.18,1.67,,,14.33 ,14.15 ,59.71%,98.74%,146.6,,,849,14.15
91901,6/30,成型12号,670B CAP,"1,812","2,025",,16.00,1.50,,,0.30,1.67,,,15.83 ,15.53 ,65.96%,98.10%,130.4,,,932,15.53
91331,6/30,成型13号,XC2A FR,"1,303","1,172",,16.00,4.00,5.64,,,1.83,,,18.17 ,12.53 ,75.71%,68.96%,93.5,,,752,12.53
92691,6/30,成型14号,655D 3RD CTR,"1,172",850,,11.00,,,,,1.50,,,9.50 ,9.50 ,39.58%,100.00%,89.5,,,570,9.50
92411,6/30,成型15号,P13C RR,"2,011","2,807",,11.00,5.42,,,0.12,1.50,,,14.92 ,14.80 ,62.17%,99.20%,189.7,,,888,14.80
92601,6/30,成型15号,554D SD,"1,347",442,,5.00,,2.22,,0.06,0.17,,,4.83 ,2.55 ,20.13%,52.80%,173.3,6,,153,2.55
92111,6/30,成型16号,990B RR,"1,816","1,665",53,16.00,6.00,,,1.55,1.83,,,20.17 ,18.62 ,84.04%,92.32%,89.4,,,1117,18.62
91441,6/30,成型17号,400B FR,"1,760","1,761",,16.00,,,,1.38,1.17,,,14.83 ,13.45 ,61.79%,90.69%,130.9,,,807,13.45
91681,6/30,成型18号,D54L RR,"2,688","2,849",,16.00,6.00,,,0.10,0.67,,,21.33 ,21.23 ,88.88%,99.53%,134.2,,,1274,21.23
91111,6/30,成型19号,TTA,"1,760","1,590",3,16.00,,,,,1.17,2.63,,14.83 ,12.20 ,61.79%,82.27%,130.3,,,732,12.20
92441,6/30,成型20号,310D CTR,"3,050","3,087",,16.00,6.00,,,0.02,0.50,,,21.50 ,21.48 ,89.58%,99.91%,143.7,,,1289,21.48
90271,6/30,成型21号,3X45 CTR,"1,506","1,611",6,16.00,,,,0.93,1.17,,,14.83 ,13.90 ,61.79%,93.73%,115.9,,,834,13.90
92661,6/30,成型22号,CH2 RR,"1,850","3,190",,16.00,6.00,,,0.09,0.33,,,21.67 ,21.58 ,90.29%,99.58%,147.8,,,1295,21.58
92431,6/30,成型23号,410D RR,"1,392","1,182",,16.00,,,,0.22,1.50,,,14.50 ,14.28 ,60.42%,98.48%,82.8,,,857,14.28
92671,6/30,成型24号,655D 3RD SIDE,"1,664","2,002",,16.00,6.00,,,0.50,0.50,,,21.50 ,21.00 ,89.58%,97.67%,95.3,,,1260,21.00
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
